
name,region,setting,size,net_price,acceptance_rate,cs_strength,psych_strength,aid_strength, webpage_url
University of Wisconsin–Madison,Midwest,urban,large,22000,0.49,8,9,7, https://www.wisc.edu/
University of Michigan,Midwest,urban,large,25000,0.18,9,8,6, "https://umich.edu/"
University of California Berkeley,West,urban,large,19000,0.14,9,8,6, "https://www.berkeley.edu/"
University of Texas Austin,South,urban,large,20000,0.31,8,7,6, "https://www.utexas.edu/"
University of Washington,West,urban,large,21000,0.48,8,7,6, "https://www.washington.edu/"
University of Illinois Urbana-Champaign,Midwest,urban,large,23000,0.60,9,7,6
Indiana University Bloomington,Midwest,suburban,large,21000,0.85,7,8,6
Ohio State University,Midwest,urban,large,22000,0.57,8,7,6
Pennsylvania State University,Northeast,suburban,large,25000,0.54,8,7,6
University of Maryland College Park,Northeast,suburban,large,24000,0.45,8,7,6
Rutgers University New Brunswick,Northeast,suburban,large,23000,0.68,7,7,6

University of Virginia,South,suburban,large,26000,0.23,7,8,6
University of North Carolina Chapel Hill,South,suburban,large,23000,0.19,7,8,7
Georgia Institute of Technology,South,urban,large,20000,0.17,10,6,6
University of Florida,South,urban,large,19000,0.30,7,7,6
Texas A&M University,South,suburban,large,21000,0.63,7,6,6

University of California Los Angeles,West,urban,large,20000,0.14,9,8,6
University of California San Diego,West,urban,large,21000,0.24,9,7,6
University of California Irvine,West,suburban,large,22000,0.29,8,7,6
University of Southern California,West,urban,large,32000,0.13,8,7,5
University of Oregon,West,urban,large,23000,0.83,6,7,6

New York University,Northeast,urban,large,35000,0.12,8,7,5
Boston University,Northeast,urban,large,33000,0.14,7,7,5
Northeastern University,Northeast,urban,large,32000,0.06,8,7,5
Tufts University,Northeast,suburban,medium,31000,0.10,7,8,5

University of Wisconsin Milwaukee,Midwest,urban,large,18000,0.95,6,6,7
University of Minnesota Twin Cities,Midwest,urban,large,23000,0.73,8,7,6



